"ID","ant_device_number","ant_network","ant_transmission_type","battery_status","battery_voltage","cum_operating_time","device_index","device_type","hardware_version","manufacturer","product","serial_number","software_version","source_type","timestamp"
2020-08-15 18:22:41,0,NA,0,NA,255.99609375,4294967295,"creator",255,255,"garmin","fr235",3935516471,8.2,"local",2020-08-15 18:00:23
2020-08-15 18:22:41,0,NA,0,NA,255.99609375,4294967295,NA,0,255,"garmin",NA,0,3.3,"local",2020-08-15 18:00:23
2020-08-15 18:22:41,0,"antplus",0,NA,255.99609375,305658,NA,120,49,"garmin",NA,3327278284,23,"antplus",2020-08-15 18:00:23
2020-08-15 18:22:41,0,NA,0,NA,255.99609375,4294967295,NA,3,255,NA,"12",0,26.84,"local",2020-08-15 18:00:23
2020-08-15 18:22:41,0,NA,0,NA,255.99609375,4294967295,"creator",255,255,"garmin","fr235",3935516471,8.2,"local",2020-08-15 18:07:29
2020-08-15 18:22:41,0,NA,0,NA,255.99609375,4294967295,NA,0,255,"garmin",NA,0,3.3,"local",2020-08-15 18:07:29
2020-08-15 18:22:41,0,"antplus",0,"ok",2.984375,306060,NA,120,49,"garmin",NA,3327278284,23,"antplus",2020-08-15 18:07:29
2020-08-15 18:22:41,0,NA,0,NA,255.99609375,4294967295,NA,3,255,NA,"12",0,26.84,"local",2020-08-15 18:07:29
2020-08-15 18:22:41,0,NA,0,NA,255.99609375,4294967295,"creator",255,255,"garmin","fr235",3935516471,8.2,"local",2020-08-15 18:20:26
2020-08-15 18:22:41,0,NA,0,NA,255.99609375,4294967295,NA,0,255,"garmin",NA,0,3.3,"local",2020-08-15 18:20:26
2020-08-15 18:22:41,0,"antplus",0,"ok",2.96484375,306864,NA,120,49,"garmin",NA,3327278284,23,"antplus",2020-08-15 18:20:26
2020-08-15 18:22:41,0,NA,0,NA,255.99609375,4294967295,NA,3,255,NA,"12",0,26.84,"local",2020-08-15 18:20:26
2020-08-15 18:22:41,0,NA,0,NA,255.99609375,4294967295,"creator",255,255,"garmin","fr235",3935516471,8.2,"local",2020-08-15 18:21:10
2020-08-15 18:22:41,0,NA,0,NA,255.99609375,4294967295,NA,0,255,"garmin",NA,0,3.3,"local",2020-08-15 18:21:10
2020-08-15 18:22:41,0,"antplus",0,"ok",2.96875,306964,NA,120,49,"garmin",NA,3327278284,23,"antplus",2020-08-15 18:21:10
2020-08-15 18:22:41,0,NA,0,NA,255.99609375,4294967295,NA,3,255,NA,"12",0,26.84,"local",2020-08-15 18:21:10
2020-08-15 18:22:41,0,NA,0,NA,255.99609375,4294967295,"creator",255,255,"garmin","fr235",3935516471,8.2,"local",2020-08-15 18:22:30
2020-08-15 18:22:41,0,NA,0,NA,255.99609375,4294967295,NA,0,255,"garmin",NA,0,3.3,"local",2020-08-15 18:22:30
2020-08-15 18:22:41,0,"antplus",0,"ok",2.98828125,306964,NA,120,49,"garmin",NA,3327278284,23,"antplus",2020-08-15 18:22:30
2020-08-15 18:22:41,0,NA,0,NA,255.99609375,4294967295,NA,3,255,NA,"12",0,26.84,"local",2020-08-15 18:22:30
