"ID","altitude","cadence","distance","fractional_cadence","heart_rate","position_lat","position_long","speed","timestamp"
2020-11-06 17:49:00,767.4,0,0,0,76,536695871,-1112322828,0.028,2020-11-06 16:26:25
2020-11-06 17:49:00,767,0,0.49,0,76,536695843,-1112322893,0,2020-11-06 16:26:26
2020-11-06 17:49:00,767.6,0,1.74,0,76,536695754,-1112323034,0,2020-11-06 16:26:27
2020-11-06 17:49:00,767.2,0,3.56,0,76,536695600,-1112323209,0,2020-11-06 16:26:28
2020-11-06 17:49:00,766.4,0,5.15,0,76,536695444,-1112323324,0.019,2020-11-06 16:26:29
2020-11-06 17:49:00,766.4,94,6.94,0,76,536695273,-1112323455,0.037,2020-11-06 16:26:30
2020-11-06 17:49:00,766.8,90,18.44,0,76,536694138,-1112324139,3.863,2020-11-06 16:26:34
2020-11-06 17:49:00,766.6,89,22.29,0.5,76,536693731,-1112324251,3.863,2020-11-06 16:26:35
2020-11-06 17:49:00,766.4,89,26.27,0.5,77,536693307,-1112324128,3.975,2020-11-06 16:26:36
2020-11-06 17:49:00,765.4,89,30.53,0,79,536692885,-1112323820,4.05,2020-11-06 16:26:37
2020-11-06 17:49:00,765,89,34.75,0,80,536692522,-1112323398,4.236,2020-11-06 16:26:38
2020-11-06 17:49:00,764.4,88,39.03,0,81,536692191,-1112322931,4.236,2020-11-06 16:26:39
2020-11-06 17:49:00,764.4,87,43.34,0,83,536691903,-1112322418,4.339,2020-11-06 16:26:40
2020-11-06 17:49:00,764.2,87,47.64,0,88,536691619,-1112321901,4.339,2020-11-06 16:26:41
2020-11-06 17:49:00,764.8,87,51.36,0,91,536691358,-1112321470,4.32,2020-11-06 16:26:42
2020-11-06 17:49:00,765.4,87,55.11,0,92,536691071,-1112321060,4.292,2020-11-06 16:26:43
2020-11-06 17:49:00,765.6,87,58.96,0,94,536690778,-1112320642,4.161,2020-11-06 16:26:44
2020-11-06 17:49:00,765.6,87,62.51,0,95,536690527,-1112320233,4.087,2020-11-06 16:26:45
2020-11-06 17:49:00,765.4,88,66.07,0,95,536690288,-1112319806,4.05,2020-11-06 16:26:46
2020-11-06 17:49:00,764.8,88,69.64,0,95,536690075,-1112319356,4.012,2020-11-06 16:26:47
2020-11-06 17:49:00,764.6,88,73.36,0,95,536689822,-1112318913,3.984,2020-11-06 16:26:48
2020-11-06 17:49:00,764,88,77.34,0,95,536689569,-1112318427,3.956,2020-11-06 16:26:49
2020-11-06 17:49:00,763.6,88,81.23,0,95,536689337,-1112317937,3.938,2020-11-06 16:26:50
2020-11-06 17:49:00,763.4,88,84.93,0,95,536689129,-1112317461,3.938,2020-11-06 16:26:51
2020-11-06 17:49:00,763,88,88.55,0,95,536688922,-1112316996,3.938,2020-11-06 16:26:52
2020-11-06 17:49:00,762.8,88,92.28,0,95,536688707,-1112316518,3.928,2020-11-06 16:26:53
2020-11-06 17:49:00,762.6,87,95.8,0,95,536688516,-1112316059,3.891,2020-11-06 16:26:54
2020-11-06 17:49:00,762.6,87,99.06,0,95,536688313,-1112315656,3.891,2020-11-06 16:26:55
2020-11-06 17:49:00,762.4,87,102.57,0,95,536688092,-1112315226,3.854,2020-11-06 16:26:56
2020-11-06 17:49:00,762.2,87,106.1,0,95,536687863,-1112314798,3.798,2020-11-06 16:26:57
2020-11-06 17:49:00,762.2,87,109.37,0,95,536687696,-1112314363,3.788,2020-11-06 16:26:58
2020-11-06 17:49:00,762.2,86,112.39,0,95,536687518,-1112313981,3.779,2020-11-06 16:26:59
2020-11-06 17:49:00,762,86,115.53,0,96,536687330,-1112313586,3.77,2020-11-06 16:27:00
