"ID","timestamp","altitude","cadence","distance","fractional_cadence","heart_rate","position_lat","position_long","speed"
"2021_04_03 08_14_44",2021-04-03 13:20:03,273.6,53,1.65,0,58,45.0135158188641,-93.1508568953723,1.278
"2021_04_03 08_14_44",2021-04-03 13:20:04,273.6,53,3.46,0,58,45.0135145615786,-93.1508263014257,1.138
"2021_04_03 08_14_44",2021-04-03 13:20:05,273.6,53,6.26,0,60,45.0135166570544,-93.1507908459753,1.586
"2021_04_03 08_14_44",2021-04-03 13:20:06,273.6,53,9.43,0,64,45.0135188363492,-93.1507506128401,1.997
"2021_04_03 08_14_44",2021-04-03 13:20:07,273.6,53,13.22,0,64,45.0135190878063,-93.1507025007159,2.93
"2021_04_03 08_14_44",2021-04-03 13:20:08,273.8,53,17.15,0,64,45.0135198421776,-93.1506525445729,3.2
"2021_04_03 08_14_44",2021-04-03 13:20:09,273.8,86,20.85,0,64,45.0135202612728,-93.1506056059152,3.359
"2021_04_03 08_14_44",2021-04-03 13:20:10,274,86,24.34,0,64,45.0135222729295,-93.1505613494664,3.396
"2021_04_03 08_14_44",2021-04-03 13:20:11,274,86,27.58,0.5,64,45.0135254580528,-93.150520529598,4.217
"2021_04_03 08_14_44",2021-04-03 13:20:12,274,86,30.9,0.5,64,45.0135297328234,-93.1504785362631,4.217
"2021_04_03 08_14_44",2021-04-03 13:20:13,274,86,34.36,0.5,64,45.0135316606611,-93.1504343636334,3.956
"2021_04_03 08_14_44",2021-04-03 13:20:14,274,86,37.8,0.5,64,45.0135320797563,-93.1503904424608,3.919
"2021_04_03 08_14_44",2021-04-03 13:20:15,274.2,84,41.13,0.5,64,45.0135324988514,-93.1503476947546,3.938
"2021_04_03 08_14_44",2021-04-03 13:20:16,274.4,84,44.66,0.5,64,45.0135309901088,-93.1503026839346,3.919
"2021_04_03 08_14_44",2021-04-03 13:20:17,274.4,85,48.12,0.5,64,45.0135300680995,-93.1502585113049,3.891
"2021_04_03 08_14_44",2021-04-03 13:20:18,274.4,85,51.52,0.5,64,45.013528810814,-93.1502154283226,3.872
"2021_04_03 08_14_44",2021-04-03 13:20:19,274.4,86,54.5,0.5,64,45.0135312415659,-93.1501772906631,3.872
"2021_04_03 08_14_44",2021-04-03 13:20:20,274.4,86,57.28,0.5,64,45.0135364383459,-93.1501428410411,3.854
"2021_04_03 08_14_44",2021-04-03 13:20:21,274.4,86,60.61,0.5,64,45.0135353486985,-93.150100344792,3.732
"2021_04_03 08_14_44",2021-04-03 13:20:22,274.4,86,63.96,0.5,64,45.0135349296033,-93.1500577647239,3.658
"2021_04_03 08_14_44",2021-04-03 13:20:23,274.4,85,67.17,0.5,64,45.0135345943272,-93.1500169448555,3.658
"2021_04_03 08_14_44",2021-04-03 13:20:24,274.4,85,70.43,0.5,64,45.0135345105082,-93.1499752029777,3.658
"2021_04_03 08_14_44",2021-04-03 13:20:25,274.6,85,73.8,0.5,64,45.0135343428701,-93.1499321199954,3.62
"2021_04_03 08_14_44",2021-04-03 13:20:26,274.6,84,77.25,0.5,64,45.0135353486985,-93.1498881150037,3.574
"2021_04_03 08_14_44",2021-04-03 13:20:27,275,84,80.7,0.5,64,45.0135356839746,-93.149843942374,3.564
"2021_04_03 08_14_44",2021-04-03 13:20:29,275,85,84.02,0.5,64,45.0135361868888,-93.1498015299439,3.536
"2021_04_03 08_14_44",2021-04-03 13:20:30,275.2,85,87.4,0.5,64,45.0135375279933,-93.1497586145997,3.536
"2021_04_03 08_14_44",2021-04-03 13:20:31,275.4,85,91.36,0.5,64,45.0135343428701,-93.1497084908187,3.527
"2021_04_03 08_14_44",2021-04-03 13:20:32,275.6,84,95.37,0.5,65,45.0135301519185,-93.1496577803046,3.49
"2021_04_03 08_14_44",2021-04-03 13:20:33,275.8,84,98.97,0.5,66,45.0135274697095,-93.1496122665703,3.49
"2021_04_03 08_14_44",2021-04-03 13:20:34,275.8,84,102.36,0.5,68,45.0135258771479,-93.149569099769,3.518
"2021_04_03 08_14_44",2021-04-03 13:20:35,275.8,85,105.38,0.5,72,45.0135284755379,-93.1495308782905,3.518
"2021_04_03 08_14_44",2021-04-03 13:20:36,275.8,85,108.16,0.5,72,45.0135403778404,-93.1494995299727,3.518
"2021_04_03 08_14_44",2021-04-03 13:20:37,275.8,84,111.2,0.5,103,45.0135627575219,-93.1494771502912,3.452
"2021_04_03 08_14_44",2021-04-03 13:20:38,275.6,84,114.57,0.5,106,45.0135905854404,-93.1494600512087,3.378
"2021_04_03 08_14_44",2021-04-03 13:20:39,275.6,84,117.97,0.5,106,45.0136192515492,-93.149444879964,3.359
"2021_04_03 08_14_44",2021-04-03 13:20:40,275.6,84,121.52,0.5,106,45.0136494264007,-93.1494293734431,3.359
"2021_04_03 08_14_44",2021-04-03 13:20:41,275.6,84,125.36,0.5,106,45.0136832054704,-93.1494186446071,3.368
"2021_04_03 08_14_44",2021-04-03 13:20:42,275.4,83,129.02,0.5,106,45.0137151405215,-93.1494067423046,3.368
"2021_04_03 08_14_44",2021-04-03 13:20:43,275.4,83,132.49,0.5,106,45.0137453153729,-93.1493948400021,3.378
"2021_04_03 08_14_44",2021-04-03 13:20:44,275.6,83,135.63,0.5,106,45.0137720536441,-93.1493810098618,3.378
"2021_04_03 08_14_44",2021-04-03 13:20:45,275.4,83,139.09,0.5,106,45.0138023123145,-93.1493706163019,3.378
"2021_04_03 08_14_44",2021-04-03 13:20:46,275.4,85,142.55,0.5,106,45.0138329062611,-93.1493623182178,3.378
"2021_04_03 08_14_44",2021-04-03 13:20:47,275,85,146.17,0.5,106,45.0138650089502,-93.149355109781,3.378
"2021_04_03 08_14_44",2021-04-03 13:20:48,274.8,85,150,0.5,106,45.0138995423913,-93.1493537686765,3.387
"2021_04_03 08_14_44",2021-04-03 13:20:49,274.4,85,153.73,0.5,106,45.013933153823,-93.149355025962,3.396
"2021_04_03 08_14_44",2021-04-03 13:20:50,274,85,157.45,0.5,106,45.0139665976167,-93.1493575405329,3.406
"2021_04_03 08_14_44",2021-04-03 13:20:51,273.8,85,160.94,0.5,106,45.0139980297536,-93.149354942143,3.406
"2021_04_03 08_14_44",2021-04-03 13:20:52,274,85,164.32,0.5,106,45.0140284560621,-93.1493536848575,3.406
"2021_04_03 08_14_44",2021-04-03 13:20:53,273.8,85,167.85,0.5,105,45.0140603072941,-93.1493536848575,3.396
"2021_04_03 08_14_44",2021-04-03 13:20:54,273.6,84,171.18,0.5,104,45.0140903145075,-93.149355025962,3.387
"2021_04_03 08_14_44",2021-04-03 13:20:55,273.4,84,174.98,0.5,105,45.0141241773963,-93.1493608932942,3.378
"2021_04_03 08_14_44",2021-04-03 13:20:56,273.4,84,178.69,0.5,106,45.0141574535519,-93.1493660062551,3.368
"2021_04_03 08_14_44",2021-04-03 13:20:57,273.6,85,182.59,0.5,107,45.0141924060881,-93.1493703648448,3.378
"2021_04_03 08_14_44",2021-04-03 13:20:58,273.2,85,186.14,0.5,108,45.0142242573202,-93.1493739690632,3.378
"2021_04_03 08_14_44",2021-04-03 13:20:59,273,85,189.51,0.5,125,45.0142545159906,-93.1493767350912,3.378
