Submission Date,No Label,Physical Performance Capability,Mental Performance Capability,Emotional Balance,Overall Recovery,Muscular Stress,Lack of Activation,Negative Emotional State,Overall Stress,Enter the date ,Enter the time
2/10/2022 7:14,,2,5,5,4,5,1,3,3,2/10/2022,7:13 AM
2/9/2022 4:48,,2,2,4,2,Fully applies (6),4,5,5,2/9/2022,4:47 AM
2/8/2022 6:54,,5,4,5,3,1,3,4,3,2/8/2022,6:51 AM
2/7/2022 5:00,,5,3,1,5,1,3,5,5,2/7/2022,4:59 AM
2/6/2022 4:56,,3,2,4,3,2,4,4,3,2/6/2022,4:53 AM
2/5/2022 8:03,,5,4,4,4,1,3,2,3,2/5/2022,8:02 AM
2/3/2022 5:45,,Fully applies (6),4,2,4,1,5,5,5,2/3/2022,5:43 AM
2/2/2022 5:19,,2,4,4,3,5,4,4,5,2/2/2022,5:14 AM
2/1/2022 6:07,,4,5,4,4,3,3,3,4,2/1/2022,6:05 AM
1/31/2022 5:08,,5,3,5,3,2,2,3,3,1/31/2022,5:06 AM
1/30/2022 5:28,,3,5,5,5,4,2,3,3,1/30/2022,5:27 AM
1/29/2022 5:51,,4,4,4,4,2,2,2,3,1/29/2022,5:49 AM
1/28/2022 5:22,,5,4,5,3,1,2,3,4,1/28/2022,5:19 AM
1/27/2022 5:16,,4,1,4,2,1,4,4,5,1/27/2022,5:14 AM
1/26/2022 6:11,,2,1,2,2,4,4,5,5,1/26/2022,6:09 AM
1/25/2022 5:11,,2,2,2,2,3,4,5,5,1/25/2022,5:10 AM
1/24/2022 5:18,,3,2,4,3,4,2,5,5,1/24/2022,5:17 AM
1/23/2022 8:34,,5,5,5,5,2,2,1,1,1/23/2022,8:34 AM
1/22/2022 7:14,,5,4,4,4,3,2,2,3,1/22/2022,7:13 AM
1/21/2022 6:36,,4,4,5,4,3,2,3,2,1/21/2022,6:33 AM
1/20/2022 8:20,,5,2,3,5,2,4,3,4,1/20/2022,8:18 AM
1/19/2022 6:53,,2,3,5,4,4,4,2,3,1/19/2022,6:51 AM
1/18/2022 6:38,,5,2,3,3,Does not apply at all (0),4,4,3,1/18/2022,6:37 AM
1/17/2022 10:50,,4,4,4,5,2,3,2,3,1/17/2022,7:55 AM
1/16/2022 9:12,,3,3,4,3,3,4,5,4,1/16/2022,8:11 AM
1/15/2022 9:02,,3,3,4,4,5,2,1,2,1/15/2022,6:30 AM
1/14/2022 7:26,,4,2,5,4,3,4,3,2,1/14/2022,6:24 AM
1/13/2022 8:55,,4,4,4,5,1,3,3,4,1/13/2022,7:54 AM
1/12/2022 5:23,,Fully applies (6),2,2,2,Does not apply at all (0),4,4,4,1/12/2022,5:22 AM
1/11/2022 5:12,,5,4,4,4,Does not apply at all (0),3,3,3,1/11/2022,6:11 AM
1/10/2022 6:39,,5,4,4,4,2,4,2,3,1/10/2022,7:38 AM
1/9/2022 6:29,,5,4,5,5,Does not apply at all (0),2,1,2,1/9/2022,7:28 AM
1/8/2022 7:22,,5,3,5,4,1,4,1,2,1/8/2022,8:20 AM
1/7/2022 6:38,,4,2,4,4,1,4,4,4,1/7/2022,7:37 AM
1/6/2022 7:10,,5,2,5,5,1,4,1,4,1/6/2022,8:09 AM
1/5/2022 7:59,,5,5,3,5,1,3,Fully applies (6),2,1/5/2022,7:58 AM
1/4/2022 8:11,,Fully applies (6),2,Does not apply at all (0),1,1,3,5,5,1/4/2022,8:10 AM
1/3/2022 7:22,,4,4,4,2,3,3,1,5,1/3/2022,7:21 AM
1/2/2022 8:56,,5,Fully applies (6),5,5,2,2,1,1,1/2/2022,8:55 AM
1/1/2022 9:40,,3,2,4,3,4,4,Does not apply at all (0),3,1/1/2022,9:39 AM
12/31/2021 4:50,,5,1,4,2,2,4,3,5,12/31/2021,4:49 AM
12/30/2021 7:42,,4,1,2,4,4,3,4,4,12/30/2021,7:41 AM
12/29/2021 8:00,,3,5,4,5,5,3,1,1,12/29/2021,7:59 AM
12/28/2021 11:00,,1,2,4,1,Fully applies (6),4,Does not apply at all (0),2,12/28/2021,10:59 AM
12/27/2021 8:39,,4,5,Fully applies (6),5,1,2,Does not apply at all (0),Does not apply at all (0),12/27/2021,8:38 AM
12/26/2021 8:05,,5,4,5,5,1,3,1,1,12/26/2021,8:04 AM
12/25/2021 6:43,,4,2,5,3,2,4,Does not apply at all (0),3,12/25/2021,6:41 AM
12/24/2021 8:30,,5,4,5,5,1,1,Does not apply at all (0),Does not apply at all (0),12/24/2021,8:28 AM
12/23/2021 8:31,,1,2,4,1,Fully applies (6),3,1,4,12/23/2021,8:30 AM
12/22/2021 7:44,,3,2,4,2,4,2,1,2,12/22/2021,7:42 AM
12/21/2021 12:04,,4,5,5,5,1,2,Does not apply at all (0),1,12/21/2021,8:30 AM
12/20/2021 6:52,,1,1,4,1,3,4,3,4,12/20/2021,6:55 AM
12/19/2021 8:30,,4,4,4,5,1,2,3,3,12/19/2021,8:29 AM
12/18/2021 8:18,,2,Does not apply at all (0),2,1,1,5,2,5,12/18/2021,8:16 AM
12/17/2021 5:08,,4,1,2,1,1,3,4,5,12/17/2021,5:07 AM
12/16/2021 23:51,,2,2,3,2,3,1,3,4,12/16/2021,6:05 AM
12/15/2021 7:34,,3,3,5,2,5,4,2,3,12/15/2021,7:32 AM
12/14/2021 7:13,,5,5,5,5,2,2,1,1,12/14/2021,7:12 AM
12/13/2021 6:29,,2,2,1,1,4,4,4,5,12/13/2021,6:28 AM
12/12/2021 7:44,,5,3,4,5,1,4,1,4,12/12/2021,7:42 AM
12/11/2021 8:03,,2,1,5,3,5,4,2,4,12/11/2021,8:03 AM
12/10/2021 6:01,,2,2,4,2,3,4,1,4,12/10/2021,6:00 AM
12/9/2021 7:17,,2,2,4,2,4,4,1,5,12/9/2021,7:16 AM
12/8/2021 6:28,,3,3,5,4,4,1,1,4,12/8/2021,6:25 AM
12/7/2021 6:27,,3,2,4,2,4,4,2,3,12/7/2021,6:20 AM
12/6/2021 8:18,,4,2,2,4,4,4,1,4,12/6/2021,8:00 AM
12/5/2021 9:19,,4,3,3,2,3,5,2,4,12/5/2021,9:00 AM
