"Submission Date","Select the day of the week","How long did you run?","How hard was your run?","What type of run was it?","What type of workout was it?","Do you have any notes to add?"
"2022/02/10 17:38:37",Thursday,21,"3 Easy","Easy run",,"lateral right thigh was really tight and sore. Seemed to loosen up a bit as I went. a little snowy and icy so had to be careful with the footing"
"2022/02/09 14:53:57",Wednesday,46,"4 Moderate","Easy run",,"Easy with Aaron. Really sore from lift and cutdown 11 yesterday"
"2022/02/08 16:22:14",Tuesday,72,"6 Hard","Long run",,"Spontaneous progression with Roseville guys. Arches hurt a bit on the cooldown. Wasn’t planning on going hard today so happy with how this went"
"2022/02/07 17:08:23",Monday,19,"3 Easy","Easy run",,"Warmup and cooldown"
"2022/02/07 17:08:02",Monday,38,7,Workout,"Track repeats (1600m pace & up)","Legs felt good, even with a mask. 200s at 800 pace were a bit tougher but good to close fast"
"2022/02/06 11:25:47",Sunday,35,"2 Really easy","Easy run",,"Easy miles to cap off the week"
"2022/02/05 15:14:54",Saturday,72,7,"Long run",,"Cutdown from 8:15 to 6:00. Had to wear a mask for the second half but otherwise felt decent. Right hip didn’t bug me during the run but tightened up after"
"2022/02/04 09:25:51",Friday,58,"2 Really easy","Easy run",,"Had to wear a mask at first but didn’t have to for the second half. Both hips are a little tight. Planning on doubling tonight. Overall felt pretty good"
"2022/02/03 16:23:02",Thursday,43,"8 Really Hard",Workout,"Continuous aerobic (tempo or progression)","Wanted to do 8 x 90 sec at 5K pace with 2 min steady between, but the first couple reps felt real tough (closer to what rep 6 or 7 normally would). I tried shortening the reps down to 60 seconds and slowing down steady pace, but it still didn’t feel right. Finished up 5 reps then called it. Cooldown then 4 x 20-25 second strides at mile to 800 pace. Hoping I can get some sleep and bounce back for Saturday"
"2022/02/01 21:31:31",Tuesday,24,"3 Easy","Easy run",,"Easy3 miles. Bit tougher with a mask on but still not bad"
"2022/01/31 20:13:46",Monday,49,"5 Challenging","Easy run",,"Ran hard to catch up to the group at Saint City Running but then dialed the pace back a bit. Felt decent for running a workout five hours before"
"2022/01/31 20:11:28",Monday,15,"8 Really Hard",Workout,"Track repeats (800m pace or less)","400/300/200/200 with 3-4 minute rest. Felt alright but got out too fast on the 400"
"2022/01/31 20:09:47",Monday,9,"3 Easy","Easy run",,Warmup
"2022/01/30 19:18:11",Sunday,32,"2 Really easy","Easy run",,"Felt great, HR seemed a little too low to be accurate"
"2022/01/29 08:57:51",Saturday,111,"2 Really easy","Long run",,"Easy long run with David N. Ran through some snowy trails in the middle miles that dropped the pace way down. Effort was pretty steady. Both hips are a little tight after"
"2022/01/28 16:28:58",Friday,47,"6 Hard",Workout,"Track repeats (1600m pace & up)","3 x 5 x 200 at 3200-1600m pace with 1 min jog between reps and 2 min between sets. Felt pretty good for the first solid flat track work. Ran it on the lab treadmill"
"2022/01/27 16:49:11",Thursday,8,"2 Really easy","Easy run",,"Wasn’t motivated at all and wanted to get home. Was planning on 5 and turned around to just make it a mile"
"2022/01/26 15:14:47",Wednesday,47,"4 Moderate","Easy run",,"Kept the HR lower on this one. Felt pretty good but got kind of bored towards the end. Right foot felt a lot better today than yesterday"
