ID,hr_all_acc,hr_impute,data_index
2020-07-02T11:55:48Z,yes,NA,1
2020-07-02T12:30:15Z,yes,NA,2
2020-07-02T12:51:42Z,yes,NA,3
2020-07-04T11:53:22Z,yes,NA,4
2020-07-05T21:46:23Z,yes,NA,5
2020-07-06T18:39:15Z,yes,NA,6
2020-07-06T18:52:42Z,yes,NA,7
2020-07-06T19:16:23Z,yes,NA,8
2020-07-07T18:14:44Z,yes,NA,9
2020-07-07T18:36:26Z,yes,NA,10
2020-07-08T05:49:51Z,yes,NA,11
2020-07-08T17:57:14Z,no,yes,12
2020-07-09T05:02:45Z,no,yes,13
2020-07-09T05:38:43Z,no,yes,14
2020-07-09T05:59:27Z,no,yes,15
2020-07-10T10:50:32Z,no,yes,16
2020-07-11T12:31:49Z,yes,NA,17
2020-07-12T20:24:22Z,yes,NA,18
2020-07-13T07:36:38Z,yes,NA,19
2020-07-13T07:58:34Z,yes,NA,20
2020-07-13T19:30:17Z,yes,NA,21
2020-07-13T20:30:54Z,yes,NA,22
2020-07-13T20:46:27Z,yes,NA,23
2020-07-14T11:35:04Z,yes,NA,24
2020-07-15T12:30:06Z,yes,NA,25
2020-07-15T12:45:01Z,yes,NA,26
2020-07-16T12:18:35Z,yes,NA,27
2020-07-16T19:38:56Z,no,yes,28
2020-07-16T20:25:38Z,no,yes,29
2020-07-16T22:49:30Z,no,yes,30
2020-07-17T10:03:38Z,no,yes,31
2020-07-18T09:13:58Z,no,yes,32
2020-07-18T11:40:59Z,yes,NA,33
2020-07-18T12:09:08Z,yes,NA,34
2020-07-18T12:32:16Z,yes,NA,35
2020-07-19T09:53:06Z,yes,NA,36
2020-07-20T19:15:52Z,yes,NA,37
2020-07-20T20:04:17Z,no,yes,38
2020-07-20T20:17:34Z,no,yes,39
2020-07-21T09:17:47Z,no,yes,40
2020-07-21T18:40:20Z,no,yes,41
2020-07-22T21:09:08Z,no,yes,42
2020-07-22T21:24:45Z,yes,NA,43
2020-07-23T16:51:59Z,yes,NA,44
2020-07-24T17:18:21Z,yes,NA,45
2020-07-25T20:02:17Z,yes,NA,46
2020-07-25T20:45:50Z,yes,NA,47
2020-07-25T21:01:33Z,no,yes,48
2020-07-26T12:04:37Z,no,yes,49
2020-07-27T09:42:27Z,no,yes,50
2020-07-27T10:31:20Z,no,yes,51
2020-07-27T11:00:50Z,no,yes,52
2020-07-28T09:33:42Z,no,yes,53
2020-07-28T21:33:29Z,no,yes,54
2020-07-29T11:42:47Z,no,yes,55
2020-07-30T08:42:48Z,no,yes,56
2020-07-31T19:30:19Z,no,yes,57
2020-07-31T20:26:46Z,yes,NA,58
2020-08-01T11:26:26Z,no,yes,59
2020-08-03T17:23:48Z,no,yes,60
2020-08-03T18:10:16Z,no,no,61
2020-08-03T18:32:53Z,yes,NA,62
2020-08-04T20:14:07Z,yes,NA,63
2020-08-05T21:43:08Z,no,yes,64
2020-08-07T20:49:00Z,yes,NA,65
2020-08-08T11:14:25Z,no,yes,66
2020-08-09T10:37:10Z,no,yes,67
2020-08-09T21:09:03Z,no,yes,68
2020-08-10T12:36:41Z,yes,NA,69
2020-08-11T10:13:01Z,no,no,70
2020-08-11T11:01:48Z,no,no,71
2020-08-11T11:17:28Z,no,no,72
2020-08-12T17:19:23Z,no,yes,73
2020-08-14T11:41:57Z,no,yes,74
2020-08-15T18:22:41Z,yes,NA,75
2020-08-17T19:49:38Z,no,yes,76
2020-08-17T20:22:26Z,no,yes,77
2020-08-17T21:41:16Z,no,yes,78
2020-08-20T10:48:51Z,no,no,79
2020-08-21T08:47:16Z,no,yes,80
2020-08-21T19:14:48Z,no,yes,81
2020-08-21T19:58:51Z,no,yes,82
2020-08-22T09:25:03Z,yes,NA,83
2020-08-25T08:27:21Z,no,no,84
