timestamp,data,event,event_type,event_group,key
2019-10-15T01:41:33Z,0,timer,start,0,2019-10-15 01:41:34
2019-10-15T01:48:02Z,0,timer,stop_all,0,2019-10-15 01:41:34
2019-10-15T01:48:02Z,178,NA,marker,255,2019-10-15 01:41:34
2019-10-15T01:48:12Z,0,timer,start,0,2019-10-15 01:41:34
2019-10-15T01:59:26Z,584,NA,marker,255,2019-10-15 01:41:34
2019-10-15T01:59:27Z,0,timer,stop_all,0,2019-10-15 01:41:34
2019-10-15T01:59:36Z,0,timer,start,0,2019-10-15 01:41:34
2019-10-15T02:09:54Z,700,NA,marker,255,2019-10-15 01:41:34
2019-10-15T02:09:55Z,0,timer,stop_all,0,2019-10-15 01:41:34
2019-10-15T02:10:37Z,0,timer,start,0,2019-10-15 01:41:34
2019-10-15T02:21:48Z,0,timer,stop_all,0,2019-10-15 01:41:34
2019-10-15T02:21:48Z,816,NA,marker,255,2019-10-15 01:41:34
