time,rr,time_sec,key,time_created
0.254,0.254,0.254,8828514774,2022_05_15_08_26_58
0.478,0.478,0.732,8828514774,2022_05_15_08_26_58
0.718,0.718,1.45,8828514774,2022_05_15_08_26_58
0.697,0.697,2.147,8828514774,2022_05_15_08_26_58
0.672,0.672,2.819,8828514774,2022_05_15_08_26_58
0.657,0.657,3.476,8828514774,2022_05_15_08_26_58
0.258,0.258,3.734,8828514774,2022_05_15_08_26_58
0.379,0.379,4.1129999999999995,8828514774,2022_05_15_08_26_58
0.637,0.637,4.75,8828514774,2022_05_15_08_26_58
0.616,0.616,5.366,8828514774,2022_05_15_08_26_58
0.614,0.614,5.98,8828514774,2022_05_15_08_26_58
0.617,0.617,6.5969999999999995,8828514774,2022_05_15_08_26_58
0.595,0.595,7.192,8828514774,2022_05_15_08_26_58
0.597,0.597,7.789,8828514774,2022_05_15_08_26_58
1.158,1.158,8.947,8828514774,2022_05_15_08_26_58
0.57,0.57,9.517,8828514774,2022_05_15_08_26_58
0.557,0.557,10.074,8828514774,2022_05_15_08_26_58
1.125,1.125,11.199,8828514774,2022_05_15_08_26_58
0.567,0.567,11.766,8828514774,2022_05_15_08_26_58
0.542,0.542,12.308,8828514774,2022_05_15_08_26_58
1.084,1.084,13.392,8828514774,2022_05_15_08_26_58
0.51,0.51,13.902,8828514774,2022_05_15_08_26_58
0.546,0.546,14.448,8828514774,2022_05_15_08_26_58
0.542,0.542,14.99,8828514774,2022_05_15_08_26_58
0.52,0.52,15.51,8828514774,2022_05_15_08_26_58
0.527,0.527,16.037,8828514774,2022_05_15_08_26_58
0.495,0.495,16.532,8828514774,2022_05_15_08_26_58
0.534,0.534,17.066,8828514774,2022_05_15_08_26_58
0.517,0.517,17.583,8828514774,2022_05_15_08_26_58
1.031,1.031,18.614,8828514774,2022_05_15_08_26_58
1.026,1.026,19.64,8828514774,2022_05_15_08_26_58
0.505,0.505,20.145,8828514774,2022_05_15_08_26_58
0.511,0.511,20.656,8828514774,2022_05_15_08_26_58
0.491,0.491,21.147,8828514774,2022_05_15_08_26_58
0.52,0.52,21.667,8828514774,2022_05_15_08_26_58
1.005,1.005,22.672,8828514774,2022_05_15_08_26_58
0.485,0.485,23.157,8828514774,2022_05_15_08_26_58
0.521,0.521,23.678,8828514774,2022_05_15_08_26_58
1.001,1.001,24.679,8828514774,2022_05_15_08_26_58
0.476,0.476,25.155,8828514774,2022_05_15_08_26_58
0.523,0.523,25.678,8828514774,2022_05_15_08_26_58
0.992,0.992,26.669999999999998,8828514774,2022_05_15_08_26_58
0.477,0.477,27.147,8828514774,2022_05_15_08_26_58
0.3,0.3,27.447,8828514774,2022_05_15_08_26_58
0.691,0.691,28.137999999999998,8828514774,2022_05_15_08_26_58
0.506,0.506,28.644,8828514774,2022_05_15_08_26_58
0.479,0.479,29.123,8828514774,2022_05_15_08_26_58
0.495,0.495,29.618,8828514774,2022_05_15_08_26_58
0.48,0.48,30.098,8828514774,2022_05_15_08_26_58
0.496,0.496,30.594,8828514774,2022_05_15_08_26_58
0.476,0.476,31.07,8828514774,2022_05_15_08_26_58
0.491,0.491,31.561,8828514774,2022_05_15_08_26_58
0.481,0.481,32.042,8828514774,2022_05_15_08_26_58
0.965,0.965,33.007,8828514774,2022_05_15_08_26_58
0.973,0.973,33.98,8828514774,2022_05_15_08_26_58
0.964,0.964,34.944,8828514774,2022_05_15_08_26_58
0.484,0.484,35.428,8828514774,2022_05_15_08_26_58
0.474,0.474,35.902,8828514774,2022_05_15_08_26_58
0.489,0.489,36.391,8828514774,2022_05_15_08_26_58
0.982,0.982,37.373,8828514774,2022_05_15_08_26_58
0.469,0.469,37.842,8828514774,2022_05_15_08_26_58
0.505,0.505,38.347,8828514774,2022_05_15_08_26_58
0.478,0.478,38.825,8828514774,2022_05_15_08_26_58
0.96,0.96,39.785,8828514774,2022_05_15_08_26_58
0.482,0.482,40.266999999999996,8828514774,2022_05_15_08_26_58
0.479,0.479,40.746,8828514774,2022_05_15_08_26_58
0.472,0.472,41.217999999999996,8828514774,2022_05_15_08_26_58
0.669,0.669,41.887,8828514774,2022_05_15_08_26_58
0.291,0.291,42.178,8828514774,2022_05_15_08_26_58
0.484,0.484,42.662,8828514774,2022_05_15_08_26_58
0.478,0.478,43.14,8828514774,2022_05_15_08_26_58
0.948,0.948,44.088,8828514774,2022_05_15_08_26_58
0.47,0.47,44.558,8828514774,2022_05_15_08_26_58
0.498,0.498,45.056,8828514774,2022_05_15_08_26_58
1.413,1.413,46.469,8828514774,2022_05_15_08_26_58
1.412,1.412,47.881,8828514774,2022_05_15_08_26_58
0.475,0.475,48.356,8828514774,2022_05_15_08_26_58
0.463,0.463,48.819,8828514774,2022_05_15_08_26_58
0.453,0.453,49.272,8828514774,2022_05_15_08_26_58
0.483,0.483,49.755,8828514774,2022_05_15_08_26_58
0.463,0.463,50.217999999999996,8828514774,2022_05_15_08_26_58
0.46,0.46,50.678,8828514774,2022_05_15_08_26_58
0.477,0.477,51.155,8828514774,2022_05_15_08_26_58
0.456,0.456,51.611,8828514774,2022_05_15_08_26_58
0.471,0.471,52.082,8828514774,2022_05_15_08_26_58
0.454,0.454,52.536,8828514774,2022_05_15_08_26_58
0.461,0.461,52.997,8828514774,2022_05_15_08_26_58
0.902,0.902,53.899,8828514774,2022_05_15_08_26_58
0.472,0.472,54.371,8828514774,2022_05_15_08_26_58
0.464,0.464,54.835,8828514774,2022_05_15_08_26_58
0.448,0.448,55.283,8828514774,2022_05_15_08_26_58
0.896,0.896,56.179,8828514774,2022_05_15_08_26_58
0.449,0.449,56.628,8828514774,2022_05_15_08_26_58
0.656,0.656,57.284,8828514774,2022_05_15_08_26_58
0.26,0.26,57.544,8828514774,2022_05_15_08_26_58
0.442,0.442,57.986,8828514774,2022_05_15_08_26_58
0.302,0.302,58.288,8828514774,2022_05_15_08_26_58
1.032,1.032,59.32,8828514774,2022_05_15_08_26_58
0.472,0.472,59.792,8828514774,2022_05_15_08_26_58
0.438,0.438,60.23,8828514774,2022_05_15_08_26_58
0.443,0.443,60.673,8828514774,2022_05_15_08_26_58
0.462,0.462,61.135,8828514774,2022_05_15_08_26_58
0.436,0.436,61.571,8828514774,2022_05_15_08_26_58
0.438,0.438,62.009,8828514774,2022_05_15_08_26_58
0.464,0.464,62.473,8828514774,2022_05_15_08_26_58
0.446,0.446,62.919,8828514774,2022_05_15_08_26_58
0.427,0.427,63.346,8828514774,2022_05_15_08_26_58
0.899,0.899,64.245,8828514774,2022_05_15_08_26_58
0.438,0.438,64.68299999999999,8828514774,2022_05_15_08_26_58
2.213,2.213,66.896,8828514774,2022_05_15_08_26_58
0.436,0.436,67.332,8828514774,2022_05_15_08_26_58
0.389,0.389,67.721,8828514774,2022_05_15_08_26_58
