timestamp,start_time,start_position_lat,start_position_long,end_position_lat,end_position_long,total_elapsed_time,total_timer_time,total_distance,total_cycles,message_index,total_calories,avg_speed,max_speed,total_ascent,total_descent,wkt_step_index,avg_vertical_oscillation,avg_stance_time_percent,avg_stance_time,event,event_type,avg_heart_rate,max_heart_rate,avg_cadence,max_cadence,intensity,lap_trigger,sport,event_group,sub_sport,avg_temperature,max_temperature,avg_fractional_cadence,max_fractional_cadence,total_fractional_cycles,key
2019-02-25T20:48:53Z,2019-02-25T20:44:36Z,179.99999991618097,179.99999991618097,179.99999991618097,179.99999991618097,256.084,256.084,951.33,346,NA,20,3.715,4.423,65535,65535,NA,6553.5,655.35,6553.5,lap,stop,156,189,84,91,NA,manual,running,255,treadmill,127,127,0.40625,0,1.9921875,2019-02-25 20:44:37
2019-02-25T20:49:53Z,2019-02-25T20:48:53Z,179.99999991618097,179.99999991618097,179.99999991618097,179.99999991618097,60.023,60.023,164.34,81,NA,11,2.738,3.592,65535,65535,NA,6553.5,655.35,6553.5,lap,stop,154,180,82,86,NA,manual,running,255,treadmill,127,127,0.8828125,0,1.9921875,2019-02-25 20:44:37
2019-02-25T20:54:09Z,2019-02-25T20:49:53Z,179.99999991618097,179.99999991618097,179.99999991618097,179.99999991618097,256.337,256.337,1012.62,359,NA,44,3.95,4.479,65535,65535,NA,6553.5,655.35,6553.5,lap,stop,172,190,84,87,NA,manual,running,255,treadmill,127,127,0.8125,0.5,1.9921875,2019-02-25 20:44:37
2019-02-25T20:55:07Z,2019-02-25T20:54:09Z,179.99999991618097,179.99999991618097,179.99999991618097,179.99999991618097,58.229,58.229,169.31,77,NA,11,2.908,4.087,65535,65535,NA,6553.5,655.35,6553.5,lap,stop,164,185,83,87,NA,manual,running,255,treadmill,127,127,0.5859375,0.5,1.9921875,2019-02-25 20:44:37
2019-02-25T20:59:27Z,2019-02-25T20:55:07Z,179.99999991618097,179.99999991618097,179.99999991618097,179.99999991618097,259.627,259.627,1043.99,365,NA,45,4.021,4.488,65535,65535,NA,6553.5,655.35,6553.5,lap,stop,174,197,84,87,NA,manual,running,255,treadmill,127,127,0.75,0.5,1.9921875,2019-02-25 20:44:37
2019-02-25T21:00:29Z,2019-02-25T20:59:27Z,179.99999991618097,179.99999991618097,179.99999991618097,179.99999991618097,62.092,62.092,181.08,84,NA,11,2.916,3.49,65535,65535,NA,6553.5,655.35,6553.5,lap,stop,174,199,82,86,NA,manual,running,255,treadmill,127,127,0.6171875,0,1.9921875,2019-02-25 20:44:37
2019-02-25T21:04:43Z,2019-02-25T21:00:29Z,179.99999991618097,179.99999991618097,179.99999991618097,179.99999991618097,253.588,253.588,928.17,359,NA,41,3.66,4.404,65535,65535,NA,6553.5,655.35,6553.5,lap,stop,168,184,84,87,NA,manual,running,255,treadmill,127,127,0.265625,0,1.9921875,2019-02-25 20:44:37
2019-02-25T21:05:44Z,2019-02-25T21:04:43Z,179.99999991618097,179.99999991618097,179.99999991618097,179.99999991618097,61.052,61.052,185.37,83,NA,9,3.036,3.882,65535,65535,NA,6553.5,655.35,6553.5,lap,stop,177,182,82,85,NA,manual,running,255,treadmill,127,127,0.734375,0.5,1.9921875,2019-02-25 20:44:37
2019-02-25T21:10:01Z,2019-02-25T21:05:44Z,179.99999991618097,179.99999991618097,179.99999991618097,179.99999991618097,257.259,257.259,1013.47,362,NA,31,3.939,4.395,65535,65535,NA,6553.5,655.35,6553.5,lap,stop,176,195,84,87,NA,manual,running,255,treadmill,127,127,0.234375,0.5,1.9921875,2019-02-25 20:44:37
2019-02-25T21:11:03Z,2019-02-25T21:10:01Z,179.99999991618097,179.99999991618097,179.99999991618097,179.99999991618097,61.826,61.826,160.69,79,NA,11,2.599,4.152,65535,65535,NA,6553.5,655.35,6553.5,lap,stop,160,180,82,85,NA,manual,running,255,treadmill,127,127,0.078125,0.5,1.9921875,2019-02-25 20:44:37
