distance,speed,heart_rate,time_elapsed,elevation,latitude,longitude,key,smooth_elev,diff_smooth,timestamp
2.41,2.361,104,0,279.62,45.013502575457096,-93.15085739828646,6664171315,280.69843898809523,1.078438988095229,2021-04-24T13:19:46Z
5.35,2.921,105,1,279.65,45.01350802369416,-93.15082085318863,6664171315,280.7834887955182,1.1334887955182467,2021-04-24T13:19:47Z
8.81,3.48,106,2,279.72,45.0135110411793,-93.15077726729214,6664171315,280.8701997354497,1.1501997354496893,2021-04-24T13:19:48Z
12.52,3.527,106,3,279.82,45.01351221464574,-93.15073016099632,6664171315,280.95680576441106,1.136805764411065,2021-04-24T13:19:49Z
16.42,3.658,108,4,280.08,45.01351078972221,-93.1506807077676,6664171315,281.0430369047619,0.963036904761907,2021-04-24T13:19:50Z
20.35,3.648,109,5,280.22,45.01351120881736,-93.15063083544374,6664171315,281.1286746031746,0.9086746031745747,2021-04-24T13:19:51Z
24.28,3.658,110,6,280.35,45.01351481303573,-93.15058113075791,6664171315,281.21444913419913,0.8644491341991056,2021-04-24T13:19:52Z
28.23,3.695,111,7,280.6,45.0135163217783,-93.150531090796,6664171315,281.30021842650103,0.7002184265010101,2021-04-24T13:19:53Z
32.15,3.667,111,8,280.73,45.01351648941636,-93.1504813861102,6664171315,281.3841378968254,0.6541378968253753,2021-04-24T13:19:54Z
35.95,3.546,112,9,280.86,45.01351648941636,-93.15043310634792,6664171315,281.4660866666667,0.6060866666666698,2021-04-24T13:19:55Z
39.67,3.303,112,10,281.13,45.01351397484541,-93.15038608387113,6664171315,281.5461272893773,0.41612728937730026,2021-04-24T13:19:56Z
43.21,3.303,113,11,281.25,45.013512801378965,-93.1503410730511,6664171315,281.6248950617284,0.3748950617284095,2021-04-24T13:19:57Z
46.73,3.275,114,12,281.38,45.01351389102638,-93.15029648132622,6664171315,281.7022712585034,0.322271258503406,2021-04-24T13:19:58Z
50.29,3.256,116,13,281.51,45.01351489685476,-93.1502512190491,6664171315,281.77761165845646,0.26761165845647383,2021-04-24T13:19:59Z
54.11,3.546,117,14,281.83,45.01351598650217,-93.15020277164876,6664171315,281.85092936507937,0.020929365079382478,2021-04-24T13:20:00Z
57.82,3.518,118,15,281.99,45.0135179143399,-93.150155832991,6664171315,281.92232795698925,-0.06767204301075935,2021-04-24T13:20:01Z
61.42,3.331,118,16,282.16,45.01351925544441,-93.15011015161872,6664171315,282.0657496159754,-0.09425038402463315,2021-04-24T13:20:02Z
64.87,3.228,119,17,282.31,45.01351883634925,-93.15006639808416,6664171315,282.20908602150536,-0.10091397849464556,2021-04-24T13:20:03Z
68.32,3.331,120,18,282.45,45.01351875253022,-93.15002256073058,6664171315,282.35124423963134,-0.09875576036864686,2021-04-24T13:20:04Z
71.93,3.508,120,19,282.76,45.01351774670184,-93.14997687935828,6664171315,282.4918433179723,-0.26815668202766574,2021-04-24T13:20:05Z
75.61,3.462,121,20,282.91,45.01351875253022,-93.1499301083386,6664171315,282.6282488479263,-0.28175115207375256,2021-04-24T13:20:06Z
79.16,3.359,122,21,283.03,45.013519087806344,-93.14988509751856,6664171315,282.75967741935483,-0.2703225806451428,2021-04-24T13:20:07Z
82.56,3.154,122,22,283.15,45.013518668711185,-93.14984193071724,6664171315,282.8862211981567,-0.26377880184327296,2021-04-24T13:20:08Z
85.98,3.2,123,23,283.28,45.01351900398731,-93.14979859627783,6664171315,283.00709677419354,-0.2729032258064308,2021-04-24T13:20:09Z
89.33,3.219,124,24,283.53,45.01351942308247,-93.14975610002875,6664171315,283.1233179723502,-0.40668202764976513,2021-04-24T13:20:10Z
92.76,3.303,124,25,283.65,45.01352068036795,-93.1497125979513,6664171315,283.235529953917,-0.414470046082954,2021-04-24T13:20:11Z
96.07,3.172,124,26,283.65,45.01352168619633,-93.14967068843544,6664171315,283.3441013824885,-0.3058986175115024,2021-04-24T13:20:12Z
98.84,2.622,124,27,283.74,45.013521518558264,-93.14963548444211,6664171315,283.4489400921659,-0.2910599078340965,2021-04-24T13:20:13Z
101.57,2.893,124,28,283.83,45.01352177001536,-93.14960069954395,6664171315,283.5498617511521,-0.28013824884789074,2021-04-24T13:20:14Z
104.82,3.191,123,29,284.03,45.0135179143399,-93.14955979585648,6664171315,283.6465898617511,-0.3834101382488484,2021-04-24T13:20:15Z
108.34,3.312,123,30,284.11,45.01351254992187,-93.1495157070458,6664171315,283.7395852534562,-0.37041474654381545,2021-04-24T13:20:16Z
111.6,3.098,123,31,284.2,45.01351003535092,-93.14947455190122,6664171315,283.8284331797235,-0.3715668202764846,2021-04-24T13:20:17Z
114.7,2.734,123,32,284.28,45.01351330429315,-93.14943557605147,6664171315,283.912534562212,-0.3674654377879847,2021-04-24T13:20:18Z
117.9,2.846,124,33,284.26,45.013525458052754,-93.14939869567752,6664171315,283.9915668202765,-0.2684331797235018,2021-04-24T13:20:19Z
121.03,3.079,124,34,284.33,45.01354590989649,-93.14937137067318,6664171315,284.0664055299539,-0.2635944700460868,2021-04-24T13:20:20Z
124.58,3.387,125,35,284.34,45.01357365399599,-93.14934907481074,6664171315,284.13686635944697,-0.20313364055300553,2021-04-24T13:20:21Z
128.05,3.322,125,36,284.29,45.01360232010484,-93.14933147281408,6664171315,284.20294930875576,-0.0870506912442579,2021-04-24T13:20:22Z
131.53,3.368,125,37,284.27,45.013632997870445,-93.14932233653964,6664171315,284.2641013824885,-0.005898617511491011,2021-04-24T13:20:23Z
135.11,3.359,125,38,284.27,45.01366501674056,-93.14931554719806,6664171315,284.32041474654375,0.05041474654376543,2021-04-24T13:20:24Z
138.61,3.2,126,39,284.28,45.01369670033455,-93.14931680448352,6664171315,284.3727188940092,0.09271889400923783,2021-04-24T13:20:25Z
142.2,3.191,127,40,284.34,45.013729222118855,-93.14931864850224,6664171315,284.42129032258066,0.081290322580684915,2021-04-24T13:20:26Z
