timestamp,distance,speed,heart_rate,cadence,fractional_cadence,time_elapsed,key
2021-12-09T22:52:34Z,2.11,2.109,74,58,0.5,0,7938511640
2021-12-09T22:52:35Z,4.22,2.109,75,88,0,1,7938511640
2021-12-09T22:52:36Z,7.67,3.452,75,88,0,2,7938511640
2021-12-09T22:52:37Z,11.19,3.518,77,88,0,3,7938511640
2021-12-09T22:52:38Z,14.23,3.042,77,88,0,4,7938511640
2021-12-09T22:52:39Z,17.39,3.163,78,88,0,5,7938511640
2021-12-09T22:52:40Z,20.83,3.434,78,92,0,6,7938511640
2021-12-09T22:52:41Z,24.74,3.91,83,93,0,7,7938511640
2021-12-09T22:52:42Z,29.08,4.348,84,93,0,8,7938511640
2021-12-09T22:52:43Z,33.48,4.395,85,91,0,9,7938511640
2021-12-09T22:52:44Z,37.75,4.273,87,89,0.5,10,7938511640
2021-12-09T22:52:45Z,41.95,4.199,88,89,0.5,11,7938511640
2021-12-09T22:52:46Z,46.49,4.535,90,89,0.5,12,7938511640
2021-12-09T22:52:47Z,51.08,4.591,92,89,0.5,13,7938511640
2021-12-09T22:52:48Z,55.7,4.628,94,89,0.5,14,7938511640
2021-12-09T22:52:49Z,60.32,4.619,95,89,0.5,15,7938511640
2021-12-09T22:52:50Z,64.54,4.217,98,89,0.5,16,7938511640
2021-12-09T22:52:51Z,68.6,4.059,99,89,0.5,17,7938511640
2021-12-09T22:52:52Z,72.55,3.947,100,89,0.5,18,7938511640
2021-12-09T22:52:53Z,76.48,3.938,102,89,0.5,19,7938511640
2021-12-09T22:52:54Z,80.4,3.919,104,89,0.5,20,7938511640
2021-12-09T22:52:55Z,84.39,3.984,104,88,0,21,7938511640
2021-12-09T22:52:56Z,88.4,4.012,106,88,0,22,7938511640
2021-12-09T22:52:57Z,92.44,4.04,108,87,0,23,7938511640
2021-12-09T22:52:58Z,96.4,3.956,109,87,0,24,7938511640
2021-12-09T22:52:59Z,100.39,3.994,109,87,0,25,7938511640
2021-12-09T22:53:00Z,104.39,4.003,109,87,0,26,7938511640
2021-12-09T22:53:01Z,108.61,4.217,111,87,0,27,7938511640
