"ID","avg_cadence","avg_fractional_cadence","avg_heart_rate","avg_speed","avg_stance_time","avg_stance_time_percent","avg_temperature","avg_vertical_oscillation","end_position_lat","end_position_long","event","event_group","event_type","intensity","lap_trigger","max_cadence","max_fractional_cadence","max_heart_rate","max_speed","max_temperature","message_index","sport","start_position_lat","start_position_long","start_time","sub_sport","timestamp","total_ascent","total_calories","total_cycles","total_descent","total_distance","total_elapsed_time","total_fractional_cycles","total_timer_time","wkt_step_index"
2019-06-04 13:20:14,86,0.9609375,146,5.364,6553.5,655.35,127,6553.5,536686536,-1111894154,"lap",255,"stop",NA,"manual",102,0,190,6.727,127,NA,"running",536706829,-1111923147,2019-06-04 12:51:11,"generic",2019-06-04 12:52:02,13,9,72,0,270.32,50.399,1.9921875,50.399,NA
2019-06-04 13:20:14,80,0.6328125,162,2.695,6553.5,655.35,127,6553.5,536705868,-1111921537,"lap",255,"stop",NA,"manual",89,0,168,5.365,127,NA,"running",536686159,-1111893669,2019-06-04 12:52:02,"generic",2019-06-04 12:53:48,10,25,139,18,286.58,106.347,1.9921875,106.347,NA
2019-06-04 13:20:14,90,0.4609375,156,4.939,6553.5,655.35,127,6553.5,536686959,-1111893939,"lap",255,"stop",NA,"manual",96,0.5,160,5.608,127,NA,"running",536705930,-1111921739,2019-06-04 12:53:48,"generic",2019-06-04 12:54:40,11,11,76,2,257.85,52.203,1.9921875,52.203,NA
2019-06-04 13:20:14,79,0.71875,165,2.836,6553.5,655.35,127,6553.5,536705905,-1111921957,"lap",255,"stop",NA,"manual",91,0,172,5.188,127,NA,"running",536686556,-1111893507,2019-06-04 12:54:40,"generic",2019-06-04 12:56:26,6,25,137,13,299.43,105.575,1.9921875,105.575,NA
2019-06-04 13:20:14,91,0.1640625,161,5.185,6553.5,655.35,127,6553.5,536687295,-1111893969,"lap",255,"stop",NA,"manual",97,0,163,6.037,127,NA,"running",536705996,-1111922052,2019-06-04 12:56:26,"generic",2019-06-04 12:57:15,12,11,74,0,256.75,49.519,1.9921875,49.519,NA
2019-06-04 13:20:14,78,0.6328125,167,2.802,6553.5,655.35,127,6553.5,536706122,-1111921707,"lap",255,"stop",NA,"manual",89,0.5,171,5.43,127,NA,"running",536686879,-1111893521,2019-06-04 12:57:15,"generic",2019-06-04 12:59:01,2,25,136,11,295.35,105.422,1.9921875,105.422,NA
2019-06-04 13:20:14,90,0.3671875,163,5.173,6553.5,655.35,127,6553.5,536687149,-1111894024,"lap",255,"stop",NA,"manual",96,0,167,6.028,127,NA,"running",536706082,-1111921823,2019-06-04 12:59:01,"generic",2019-06-04 12:59:50,11,11,77,3,256.27,49.541,1.9921875,49.541,NA
2019-06-04 13:20:14,78,0.4296875,171,2.633,6553.5,655.35,127,6553.5,536705736,-1111921721,"lap",255,"stop",NA,"manual",91,0,180,5.524,127,NA,"running",536686759,-1111893563,2019-06-04 12:59:50,"generic",2019-06-04 13:01:42,0,27,144,13,294.32,111.787,1.9921875,111.787,NA
2019-06-04 13:20:14,91,0.765625,173,5.361,6553.5,655.35,127,6553.5,536687150,-1111894265,"lap",255,"stop",NA,"manual",95,0,175,6.102,127,NA,"running",536705693,-1111921806,2019-06-04 13:01:42,"generic",2019-06-04 13:02:29,14,11,66,0,251.94,46.992,1.9921875,46.992,NA
2019-06-04 13:20:14,77,0.625,174,2.569,6553.5,655.35,127,6553.5,536705727,-1111921374,"lap",255,"stop",NA,"manual",92,0,182,5.869,127,NA,"running",536686754,-1111893679,2019-06-04 13:02:29,"generic",2019-06-04 13:04:23,2,28,145,4,293.43,114.214,1.9921875,114.214,NA
2019-06-04 13:20:14,80,0.359375,164,2.668,6553.5,655.35,127,6553.5,536706261,-1111917549,"lap",255,"stop",NA,"distance",83,0,171,3.602,127,NA,"running",536705966,-1111921552,2019-06-04 13:04:23,"generic",2019-06-04 13:14:27,67,142,809,67,1609.34,603.268,1.9921875,603.268,NA
2019-06-04 13:20:14,69,0.7265625,161,0.877,6553.5,655.35,127,6553.5,536706423,-1111922109,"lap",255,"stop",NA,"manual",80,0,164,3.555,127,NA,"running",536706203,-1111918011,2019-06-04 13:14:28,"generic",2019-06-04 13:15:34,0,13,30,0,53.11,67.571,1.9921875,60.553,NA
